symbol,metric,n,mean,median,mean_abs,median_abs,p90_abs
SOXX,open_slip,2637,0.35657415700417033,0.007071494130261868,16.15908673771668,12.290923099915751,34.76967856709723
SOXX,close_drift,2538,0.29330735989088713,0.866338294246427,23.139079196274476,15.036477736382615,50.284732461492574
SOXX,last10_gap,2618,-0.716659773980338,-0.6882467124763592,9.634259599287638,6.4701075330486635,20.87375651818624
SOXX,spread_am_vs_pm,2616,22.39530277257155,20.89303530612748,7.408114815162903,6.141704209282536,0.9873853211009175
QQQ,open_slip,2638,0.4855731018851895,0.26148697392147646,7.876668662239438,5.86506402400877,17.406272344001387
QQQ,close_drift,2622,0.07043875207972279,0.6634599418131604,16.324296901085408,10.703577199678849,34.07627695609628
QQQ,last10_gap,2636,-0.41574823669027944,-0.7474977910715275,6.450291964679376,4.326424596495793,14.135458346564711
QQQ,spread_am_vs_pm,2633,13.80314889358274,12.040837005387722,7.18105861201762,5.5811925260422806,0.9639194834789214
XLE,open_slip,2638,-0.567919750895519,0.21589469961558194,19.86071848162904,14.891723820555924,42.626397792770334
XLE,close_drift,2618,-0.5853546895167342,-0.0002697214662727987,18.35314589774421,12.854978234457803,38.34020625202972
XLE,last10_gap,2630,-0.18230876040762695,-0.331087714630085,7.533563125275717,5.591886648818045,15.383165840685104
XLE,spread_am_vs_pm,2626,27.121436952110102,24.164200739279046,7.866517684208779,6.6509416572546405,0.9992383853769993
GLD,open_slip,2638,-0.2266470204607738,-0.13420958382859283,3.8090895108725955,2.6592618132031953,8.220927703075477
GLD,close_drift,2617,-0.1782642084207058,0.2936013538712423,6.438093466258163,4.533407676251544,13.560078419784462
GLD,last10_gap,2629,-0.0158976950958092,-0.2776707664287059,2.891191752182379,2.1025781493211326,5.6285313111899
GLD,spread_am_vs_pm,2626,6.82600999903058,5.898340241887762,2.620975849942705,2.0858266517345436,0.9725818735719726
SHY,open_slip,2638,-0.07041524171153646,-0.040527659962985574,0.4841862923551685,0.2606709993713263,1.0595648872797625
SHY,close_drift,2560,0.02813445174363552,7.366326215674235e-05,1.295958625805474,1.1695341254053249,2.4365286467438185
SHY,last10_gap,2617,-0.040010981118320646,-0.05984226983057894,0.9740460531104616,0.7323506735434915,1.8295080225034788
SHY,spread_am_vs_pm,2618,0.8643177419932068,0.8183908268974582,0.8526200318973921,0.8579942937941143,0.4698242933537051
SPY,open_slip,2637,0.43472299814619236,0.27594501848193786,5.380140016008967,3.7266641566224834,11.396797667879934
SPY,close_drift,2625,-0.1733809374274573,0.34938099912729115,14.537419295639662,9.281821069806462,31.02144734132794
SPY,last10_gap,2636,-0.22169029306771612,-0.5960414941619252,6.092485617788239,4.0274362163905675,13.234114078309878
SPY,spread_am_vs_pm,2635,8.769476932781647,7.160448032718094,6.126458318756328,4.702881797815434,0.8683111954459203
