,EEM,LQD,SHY,EFA,SPY,IEF,AGG
2021-04-09,,,0.25,,0.75,,
2021-04-16,,,,,1.0,,
2021-04-23,,0.25,,,0.75,,
2021-04-30,,,0.25,,0.75,,
2021-05-07,,0.25,,0.75,,,
2021-05-14,,,0.25,,0.75,,
2021-05-21,,,0.25,0.75,,,
2021-05-28,,0.25,,0.75,,,
2021-06-04,1.0,,,,,,
2021-06-11,,,,1.0,,,
2021-06-18,,,,,1.0,,
2021-06-25,,,,,1.0,,
2021-07-02,,,,,1.0,,
2021-07-09,,0.25,,,0.75,,
2021-07-16,,,,,1.0,,
2021-07-23,,0.25,,,0.75,,
2021-07-30,,0.25,,,0.75,,
2021-08-06,,0.25,,,0.75,,
2021-08-13,,0.25,,,0.75,,
2021-08-20,,0.25,,,0.75,,
2021-08-27,,0.25,,,0.75,,
2021-09-03,,,,,1.0,,
2021-09-10,,,,,1.0,,
2021-09-17,,,,,1.0,,
2021-09-24,,0.25,,,0.75,,
2021-10-01,,,0.75,,0.25,,
2021-10-08,,,0.75,,0.25,,
2021-10-15,,,0.25,,0.75,,
2021-10-22,,,0.25,,0.75,,
2021-10-29,,0.25,,,0.75,,
2021-11-05,,0.25,,,0.75,,
2021-11-12,,0.25,,,0.75,,
2021-11-19,,0.25,,,0.75,,
2021-11-26,,,,,0.25,0.75,
2021-12-03,,,,,0.5,0.5,
2021-12-10,,,,,0.25,0.75,
2021-12-17,,,,,0.5,0.5,
2021-12-23,,,,,0.75,0.25,
2021-12-31,,,0.5,,0.5,,
2022-01-07,,,0.5,,0.5,,
2022-01-14,,,0.25,,0.75,,
2022-01-21,,,1.0,,,,
2022-01-28,,,1.0,,,,
2022-02-04,,,1.0,,,,
2022-02-11,,,1.0,,,,
2022-02-18,,,1.0,,,,
2022-02-25,,,0.75,,0.25,,
2022-03-04,,,,,,1.0,
2022-03-11,,,1.0,,,,
2022-03-18,,,0.75,,0.25,,
2022-03-25,,,0.75,,0.25,,
2022-04-01,,,0.5,,0.5,,
2022-04-08,,,0.5,,0.5,,
2022-04-14,,,1.0,,,,
2022-04-22,,,1.0,,,,
2022-04-29,,,1.0,,,,
2022-05-06,,,1.0,,,,
