,EEM,QQQ,SPY,EFA,DBC,VNQ,HYG,GLD,IEF,TLT
2018-01-31,0.13860430468200585,0.17867181840030938,0.2626284852643403,0.24421428383351265,0.1758811078198318,,,,,
2018-02-28,0.146749571918305,0.16746107080030365,0.19482241760620045,0.21126311561374625,0.2797038240614447,,,,,
2018-03-29,0.1447451326044521,0.148482115720124,0.17958914999280723,0.212793015205495,0.3143905864771216,,,,,
2018-04-30,0.1526196946629188,0.14321755152363436,0.17726534263454477,0.2272902717587794,0.2996071394201226,,,,,
2018-05-31,0.1561922088197742,0.1369382476941327,0.1824153221920898,0.2659804027475527,0.25847381854645063,,,,,
2018-06-29,,0.1535732457341443,0.20943035198275242,0.24097605904048877,0.19066477733340523,0.20535556590920934,,,,
2018-07-31,,0.10586644925992643,0.15524319003066686,,0.09445518897176372,0.12419545711089697,0.520239714626746,,,
2018-08-31,,0.09748423161390181,0.15798270291460306,,0.07937105543165014,0.11427577820979704,0.5508862318300479,,,
2018-09-28,,0.09252006408984106,0.16049383775149234,,0.07928721763102431,0.09699881010513436,0.5707000704225079,,,
2018-10-31,,0.09466897945914841,0.14419941476053516,,0.151377928579186,,0.6097536772011304,,,
2018-11-30,,,0.47030401574301706,,,0.529695984256983,,,,
2018-12-31,,,,,,,,0.22733460349177068,0.539158393689732,0.23350700281849723
2019-01-31,,,,,,0.08255163170356647,0.1938987313902734,0.1790470500302148,0.3624180537912677,0.18208453308467765
2019-02-28,,,,,,0.08647427394205473,0.2109944819288246,0.1765289619005575,0.34886177135046864,0.1771405108780945
2019-03-29,,0.10883837476790312,0.14455855106508977,,,0.17114322223401962,0.3634591326581287,,,0.21200071927485872
2019-04-30,,0.1195937035263154,0.15435830003442336,,,0.1277052541694489,0.4414937838748425,,,0.1568489583949699
2019-05-31,,,,,,0.10499761458336455,0.31503900196008555,0.14798105443413254,0.2878557820015009,0.14412654702091635
2019-06-28,,0.14079912577218484,0.19774624849038488,,,0.1721745854731555,,0.23424057071555238,,0.2550394695487224
