,SPY,TLT,GLD,VNQ,EFA
2018-01-31,0.25023817557607886,0.17503681461060164,0.19240480832688853,0.14962748053269728,0.23269272095373367
2018-02-28,0.16018926865060226,0.24667277430874082,0.2646663836400287,0.15476423315285695,0.17370734024777124
2018-03-29,0.14082149296658786,0.2807793471384955,0.2566795853876105,0.15486188797501949,0.16685768653228666
2018-04-30,0.1321750183815508,0.2827308717452881,0.2601478050095759,0.1554710120557859,0.1694752928077993
2018-05-31,0.1438099264178355,0.23409318940875357,0.23795442680216883,0.17445271372441984,0.20968974364682225
2018-06-29,0.17316764201075155,0.20478369763875245,0.252999024919756,0.16979840212086292,0.19925123330987712
2018-07-31,0.20953232838532376,0.20201300921959262,0.2411966425715509,0.16762708430679155,0.1796309355167413
2018-08-31,0.23662145132351387,0.23703440112253196,0.18943759446722858,0.1711586141537443,0.16574793893298126
2018-09-28,0.25651374253571285,0.2366493691591394,0.18544858659115648,0.15503104761009792,0.16635725410389332
2018-10-31,0.16670592097050158,0.2778511391817865,0.226030407375104,0.1572298851298398,0.1721826473427682
2018-11-30,0.13885986373408682,0.2807741629767837,0.2606309644059296,0.15639567116647518,0.16333933771672485
2018-12-31,0.11849066050707754,0.29390971565189733,0.2861406632932481,0.13686205696380024,0.16459690358397688
2019-01-31,0.11379977411646272,0.2991680838808205,0.2941774459071848,0.13563377986918868,0.15722091622634324
2019-02-28,0.12336079579748647,0.28397981295034286,0.282999418553883,0.13862976920045775,0.17103020349782994
2019-03-29,0.1634997929099784,0.2397787847403003,0.2200631024288577,0.19356780478941943,0.18309051513144417
2019-04-30,0.20673609811182186,0.21007190183001617,0.20404217690345705,0.17103897846427824,0.20811084469042665
2019-05-31,0.1760659411397527,0.23346918673810227,0.23971306567394446,0.17008461100966554,0.1806671954385351
2019-06-28,0.18612808801395733,0.24005516765849422,0.2204782639135824,0.16205883369904903,0.19127964671491693
2019-07-31,0.19356808803937195,0.24994553118997417,0.17561370515475738,0.17990849840580372,0.20096417721009274
2019-08-30,0.17754839767488773,0.2124492274251473,0.18513869930015267,0.20080779366027451,0.2240558819395378
2019-09-30,0.1859125846982727,0.17954887136048062,0.17604861885824433,0.22319562603325957,0.23529429904974283
2019-10-31,0.17112373258452188,0.1730760206523745,0.20575318186307476,0.23955216385513906,0.21049490104488988
2019-11-29,0.2262423166307166,0.1541581591532429,0.17875972382541286,0.21097512099293023,0.22986467939769747
2019-12-31,0.22391992086785173,0.15576133564813946,0.21933991332789013,0.18729042418802383,0.21368840596809474
2020-01-31,0.2320863349700137,0.15589559478640952,0.22212572273007283,0.17464049059038722,0.21525185692311663
2020-02-28,0.18055732691572662,0.21647961685521525,0.2366987182753047,0.16725245010496861,0.19901188784878476
2020-03-31,0.05935910330056754,0.08867124005253196,0.1317981892138843,0.04959691140194256,0.065379878392132
2020-04-30,0.05455073599386688,0.08687269555776916,0.1204499038330253,0.044312430542300475,0.06043425131705134
2020-05-29,0.05482987798661836,0.08601014042945238,0.12442866824202936,0.04325285981781484,0.05970349234108605
2020-06-30,0.1155840593908486,0.2223398786609234,0.21999473628248103,0.07949111456513704,0.12145401226209974
2020-07-31,0.17332173041279889,0.268638170565477,0.2820924962966509,0.1149074794991702,0.16104012322590308
2020-08-31,0.19523430841417364,0.2892280893639955,0.18728563817155067,0.1387929928943415,0.18449822553630957
2020-09-30,0.19045952261731358,0.29325909639127423,0.16087410991703754,0.1590112307701883,0.19639604030418634
2020-10-30,0.16236089548448193,0.273178619700822,0.15673798277929835,0.14962677129547997,0.19851699016986404
2020-11-30,0.15387456478158582,0.25623938278409647,0.20065420734778222,0.14149093927317768,0.1713292010100139
2020-12-31,0.197312264517853,0.252179055017957,0.19604491451075284,0.16850977408291343,0.18595399187052372
2021-01-29,0.21864658754274846,0.24705878573160708,0.17649980527604142,0.16804150697132678,0.18975331447827637
2021-02-26,0.22263247293521662,0.2185896998110758,0.17245715252518637,0.18089368022827298,0.20542699450024818
2021-03-31,0.1951416416452531,0.21298835733088908,0.18159428962422366,0.18653326880199772,0.2237424425976366
2021-04-30,0.19851559810036956,0.1906489788794453,0.1874303450620468,0.2032431075014187,0.22016197045671967
2021-05-28,0.19494271901449678,0.22169694933042686,0.2095561635256026,0.17868966471039235,0.19511450341908146
2021-06-30,0.22426000861611106,0.2203767302900198,0.18569040912035711,0.1817426492578346,0.1879302027156774
2021-07-30,0.22777614449255698,0.2041697964866094,0.2026782864362739,0.17323396068599584,0.19214181189856397
2021-08-31,0.24980419267922124,0.17975131822687443,0.17179735969082907,0.19208493713234803,0.2065621922707271
2021-09-30,0.22833168923208705,0.18641339877555313,0.19307396436809526,0.18777724227010303,0.20440370535416155
2021-10-29,0.22011228541253414,0.18874124665533765,0.1798757732315239,0.1893007889171977,0.2219699057834066
2021-11-30,0.21710849472856997,0.17037650873433136,0.20671491913653228,0.18568343869899598,0.22011663870157033
2021-12-31,0.1955142713318353,0.17164491021987424,0.2406613310245524,0.17402343981627505,0.2181560476074629
2022-01-31,0.1822553121945264,0.18043404218730483,0.24776896623894742,0.16402670532572933,0.22551497405349202
2022-02-28,0.16181425173394218,0.20279933396797345,0.27879160135492714,0.15690828288462036,0.19968653005853682
2022-03-31,0.1732164476093301,0.19728814420256155,0.225686004769525,0.18630995230046007,0.1661320064218918
2022-04-29,0.1485663687024005,0.18630836094399222,0.22134247479670746,0.1637231565961411,0.1509588025855684
2022-05-31,0.12422024857859959,0.15959835793601618,0.20378644589982658,0.1340753871595226,0.13575373525626075
2022-06-30,0.09935748200282636,0.1387636978451079,0.21005804119225233,0.10185979800732263,0.12518993858557464
2022-07-29,0.09883307193602511,0.13734233383121144,0.19743378020366747,0.09987166598325718,0.11819273994620662
2022-08-31,0.11209398738844005,0.13339735426647473,0.19584503417865193,0.11524099630664987,0.12590936252483703
2022-09-30,0.1213737471669867,0.12616836116618654,0.18997024395655607,0.12063944306456628,0.12521031493510948
2022-10-31,0.10297004204799587,0.12326210022567227,0.17334238620616513,0.09637485173486963,0.11136205289582041
2022-11-30,0.090552092172917,0.11085619218035551,0.14316497139659118,0.07893750050073679,0.09201213813740279
2022-12-30,0.09868437192459006,0.1141752764316263,0.14506643331677951,0.08694071122034186,0.10431355171370021
2023-01-31,0.11618084071233604,0.11599228885440753,0.15702437808418582,0.09638419501481511,0.12420735668348556
2023-02-28,0.14434873624927577,0.1300957176731085,0.17851740196665983,0.12092308938199883,0.17955625617948992
2023-03-31,0.18782862336962677,0.1612952876782568,0.19173522998786585,0.13176999486955276,0.20154604327110665
2023-04-28,0.21486843197712185,0.19065478513730258,0.20682122875664244,0.15553526014184532,0.23177270088582802
2023-05-31,0.2278440605773996,0.18225827282549079,0.20564819407429974,0.15590292615611331,0.22834654636669657
2023-06-30,0.22862696603281044,0.17469236254806486,0.2172773812015818,0.15652096214449174,0.22288232807305122
2023-07-31,0.24506458002836973,0.1743378600054335,0.22142676071155162,0.1605836955069196,0.19858710374772548
2023-08-31,0.23322610048688253,0.16036093614954106,0.2551136882274473,0.16613522731267655,0.18516404782345255
2023-09-29,0.2226224129567627,0.15218018452046783,0.26942868141368304,0.16568594525087627,0.1900827758582101
2023-10-31,0.22864552504399666,0.1427828629188123,0.24649992629853018,0.15528651479245306,0.22678517094620781
2023-11-30,0.21907427859071693,0.13175502141207518,0.22516547304141332,0.12347838616451816,0.20963577866178526
2023-12-29,0.2275382018174611,0.12570983812018166,0.19266667342725213,0.11729229893013851,0.20673145031190165
2024-01-31,0.24693790386496195,0.14642582303194068,0.2142586999601092,0.12117097101747772,0.21948738987565142
2024-02-29,0.23887515880413293,0.15226012136587316,0.21935337320904325,0.13598016170324068,0.23228696904348706
2024-03-28,0.22295386187160457,0.17512968460124,0.2269552403880407,0.14331703374564408,0.23164417939347068
2024-04-30,0.21938610153609517,0.1896830973574632,0.19450934903953962,0.14763936803902256,0.24878208402787944
2024-05-31,0.23774429280382714,0.2092518354630815,0.16896282684140906,0.14779847297466037,0.23624257191702192
2024-06-28,0.2616617020328606,0.18864514221802936,0.15487989137058628,0.1640270834563646,0.23078618092215913
2024-07-31,0.2487725410350407,0.19123868491105497,0.15534807042216825,0.1880542920204342,0.21658641161130182
