,EEM,QQQ,SPY,EFA,DBC,GLD,VNQ,HYG,TLT,IEF
2018-01-31,0.1153179682794905,0.1486539046099386,0.2185053588522179,0.20318485130114172,0.14633204978057318,0.1680058671766382,,,,
2018-02-28,0.11101516355466601,0.12668328718726757,0.14738198055329357,0.15981926915592493,0.21159425113916513,0.24350604840968285,,,,
2018-03-29,0.10904881418017978,0.11186420126811036,0.1352997748108022,0.16031506936676404,0.23685715732099763,0.24661498305314591,,,,
2018-04-30,0.11314424473594616,0.10617398846107196,0.13141523677230446,0.16850109804487293,0.22211303450748757,0.2586523974783168,,,,
2018-05-31,0.1278917908929779,0.11212644901870178,0.14936354647743733,0.2177874959760059,0.21164102744071794,,0.18118969019415926,,,
2018-06-29,,0.08636495790627839,0.117777308455141,0.13551766192062395,0.10722411569731116,,0.11548577176177804,0.43763018425886746,,
2018-07-31,,0.0934317032961231,0.1370088046882229,0.11745690963218351,0.08336077437641644,,0.10960784252829461,0.45913396547875934,,
2018-08-31,,0.08416449258475717,0.13639676702421522,,0.06852620670776083,,0.09866172947691615,0.47561599867288645,0.13663480553346416,
2018-09-28,,0.0837979300006464,0.14536361938071113,0.09427289285840831,0.07181258225825346,,0.08785445167269994,0.5168985238292807,,
2018-10-31,,0.09466897945914841,0.14419941476053516,,0.151377928579186,,,0.6097536772011304,,
2018-11-30,,,0.47030401574301706,,,,0.529695984256983,,,
2018-12-31,,,,,,0.22733460349177068,,,0.23350700281849723,0.539158393689732
2019-01-31,,,,,,0.1790470500302148,0.08255163170356647,0.1938987313902734,0.18208453308467765,0.3624180537912677
2019-02-28,,,0.07145162659703075,,,0.1639156804312774,0.0802955464100977,0.19591858299201229,0.1644835332396256,0.32393503032995624
2019-03-29,,0.07787241748405355,0.10342973113514661,,,,0.12245071170709926,0.2600502017519339,0.15168371039623435,0.2845132275255323
2019-04-30,,0.0904991710466117,0.11680630154751988,,,,0.09663735882289928,0.33408800200015154,0.11869103720118394,0.24327812938163357
2019-05-31,,0.07736527915490246,,,,0.13653245884819906,0.0968744448205237,0.29066592162876165,0.13297615647701097,0.26558573907060207
2019-06-28,,0.09286344373809825,0.13042266789936688,,,0.15449233750939206,0.113556990098694,,0.16821015969767478,0.34045440105677405
