cost_bps,control,metric,arm,window_months,value,extra
10.0,spy_sma200,power_paired_test5pct,blend,36,0.1765,crit=1.099;true_pair_sharpe=0.648;B=2000
10.0,spy_sma200,fpr_literal_rule,blend,60,0.209,P(edge_hat>=0.2|true=0);B=2000
10.0,spy_sma200,fnr_literal_rule,blend,60,0.4985,P(edge_hat<0.2|true=0.2);B=2000
10.0,spy_sma200,power_literal_rule,blend,60,0.5015,1-FNR;B=2000
10.0,spy_sma200,power_sharpe_diff_test5pct,blend,60,0.2005,crit=0.408;B=2000
10.0,spy_sma200,power_paired_test5pct,blend,60,0.238,crit=0.913;true_pair_sharpe=0.648;B=2000
10.0,spy_sma200,fpr_literal_rule,blend,96,0.1505,P(edge_hat>=0.2|true=0);B=2000
10.0,spy_sma200,fnr_literal_rule,blend,96,0.5095,P(edge_hat<0.2|true=0.2);B=2000
10.0,spy_sma200,power_literal_rule,blend,96,0.4905,1-FNR;B=2000
10.0,spy_sma200,power_sharpe_diff_test5pct,blend,96,0.2715,crit=0.318;B=2000
10.0,spy_sma200,power_paired_test5pct,blend,96,0.329,crit=0.768;true_pair_sharpe=0.648;B=2000
10.0,spy_sma200,fpr_literal_rule,blend,120,0.118,P(edge_hat>=0.2|true=0);B=2000
10.0,spy_sma200,fnr_literal_rule,blend,120,0.499,P(edge_hat<0.2|true=0.2);B=2000
10.0,spy_sma200,power_literal_rule,blend,120,0.501,1-FNR;B=2000
10.0,spy_sma200,power_sharpe_diff_test5pct,blend,120,0.329,crit=0.279;B=2000
10.0,spy_sma200,power_paired_test5pct,blend,120,0.3915,crit=0.714;true_pair_sharpe=0.648;B=2000
10.0,spy_sma200,fpr_literal_rule,blend,180,0.0815,P(edge_hat>=0.2|true=0);B=2000
10.0,spy_sma200,fnr_literal_rule,blend,180,0.5275,P(edge_hat<0.2|true=0.2);B=2000
10.0,spy_sma200,power_literal_rule,blend,180,0.4725,1-FNR;B=2000
10.0,spy_sma200,power_sharpe_diff_test5pct,blend,180,0.3645,crit=0.244;B=2000
10.0,spy_sma200,power_paired_test5pct,blend,180,0.469,crit=0.655;true_pair_sharpe=0.648;B=2000
10.0,spy_sma200,fpr_literal_rule,blend,240,0.0545,P(edge_hat>=0.2|true=0);B=2000
10.0,spy_sma200,fnr_literal_rule,blend,240,0.491,P(edge_hat<0.2|true=0.2);B=2000
10.0,spy_sma200,power_literal_rule,blend,240,0.509,1-FNR;B=2000
10.0,spy_sma200,power_sharpe_diff_test5pct,blend,240,0.4905,crit=0.208;B=2000
10.0,spy_sma200,power_paired_test5pct,blend,240,0.6215,crit=0.601;true_pair_sharpe=0.648;B=2000
10.0,both,fpr_joint_rule_12m,blend,12,0.203,blend_true_sharpe_set_to_better_control=0.677;B=5000
20.0,,sharpe_sd_12m,blend,12,0.8340078028141032,obs_sharpe_2018plus=0.764
20.0,,sharpe_sd_12m,gem,12,0.9614417372750794,obs_sharpe_2018plus=0.633
20.0,,sharpe_sd_12m,spy_sma200,12,0.9554765264522534,obs_sharpe_2018plus=0.642
20.0,gem,edge_sd_12m,blend,12,0.8092103686466358,obs_edge=0.131;daily_corr=0.540
20.0,spy_sma200,edge_sd_12m,blend,12,0.58923129720667,obs_edge=0.122;daily_corr=0.799
20.0,gem,fpr_literal_rule,blend,12,0.35,P(edge_hat>=0.2|true=0);B=5000
20.0,gem,fnr_literal_rule,blend,12,0.5554,P(edge_hat<0.2|true=0.2);B=5000
20.0,gem,power_literal_rule,blend,12,0.4446,1-FNR;B=5000
20.0,gem,power_sharpe_diff_test5pct,blend,12,0.087,crit=1.224;B=5000
20.0,gem,power_paired_test5pct,blend,12,0.0906,crit=1.334;true_pair_sharpe=0.206;B=5000
20.0,gem,fpr_literal_rule,blend,24,0.3215,P(edge_hat>=0.2|true=0);B=2000
20.0,gem,fnr_literal_rule,blend,24,0.5555,P(edge_hat<0.2|true=0.2);B=2000
20.0,gem,power_literal_rule,blend,24,0.4445,1-FNR;B=2000
20.0,gem,power_sharpe_diff_test5pct,blend,24,0.0955,crit=0.947;B=2000
20.0,gem,power_paired_test5pct,blend,24,0.0925,crit=1.005;true_pair_sharpe=0.206;B=2000
20.0,gem,fpr_literal_rule,blend,36,0.2885,P(edge_hat>=0.2|true=0);B=2000
20.0,gem,fnr_literal_rule,blend,36,0.5555,P(edge_hat<0.2|true=0.2);B=2000
20.0,gem,power_literal_rule,blend,36,0.4445,1-FNR;B=2000
20.0,gem,power_sharpe_diff_test5pct,blend,36,0.1185,crit=0.718;B=2000
20.0,gem,power_paired_test5pct,blend,36,0.1375,crit=0.711;true_pair_sharpe=0.206;B=2000
20.0,gem,fpr_literal_rule,blend,60,0.2915,P(edge_hat>=0.2|true=0);B=2000
20.0,gem,fnr_literal_rule,blend,60,0.528,P(edge_hat<0.2|true=0.2);B=2000
20.0,gem,power_literal_rule,blend,60,0.472,1-FNR;B=2000
20.0,gem,power_sharpe_diff_test5pct,blend,60,0.1385,crit=0.606;B=2000
20.0,gem,power_paired_test5pct,blend,60,0.1705,crit=0.596;true_pair_sharpe=0.206;B=2000
20.0,gem,fpr_literal_rule,blend,96,0.2345,P(edge_hat>=0.2|true=0);B=2000
