date,nf_buy,nf_sell,wgap_buy,wgap_sell,open_drift_cost,open_minus_close_fill
2007-02-01,1.0,1.0,0.009563398113163535,0.00040480609797843847,0.009158592015185096,-0.003146175653939265
2007-05-01,1.0,1.0,0.0011044397478350287,-0.0016394840805038502,0.002743923828338879,0.007639924240499418
2007-09-04,1.0,1.0,0.0020970041469212664,-0.0032937265771655344,0.005390730724086801,-0.006454503711558646
2007-10-01,1.0,1.0,-0.00027212993986680534,0.005928153465259101,-0.006200283405125906,-0.009300133292247548
2008-05-01,1.0,1.0,-0.012599438320627043,-0.024697049647590674,0.012097611326963631,-0.003262120584237138
2008-06-02,1.0,1.0,-0.0017994965792249573,-0.004883650049468113,0.003084153470243156,-0.021283628141783528
2008-07-01,1.0,1.0,-0.003503871160136396,-0.007969099539823943,0.004465228379687547,-0.01460406909298917
2008-08-01,1.0,1.0,-0.006438741332870812,0.0006719669228030245,-0.007110708255673837,0.0015879967424298203
2008-09-02,1.0,1.0,-0.0009034356226843565,-0.04344627906179832,0.042542843439113964,-0.011133085241108676
2009-02-02,1.0,1.0,-0.015660939036365118,-0.00014315435518430508,-0.015517784681180813,-0.012640687060439082
2009-04-01,1.0,1.0,-0.020551766191320375,0.011741222562320575,-0.03229298875364095,0.04208241964658743
2009-07-01,1.0,1.0,0.005871033168584505,0.0062735396959106016,-0.0004025065273260964,-0.009058317473574329
2009-08-03,1.0,1.0,0.011103677596793426,0.009673144286490576,0.0014305333103028506,-0.0010285042316200421
2009-11-02,1.0,1.0,0.009460657683134421,0.0007390534485607336,0.008721604234573688,0.004840008041888777
2010-01-04,1.0,1.0,0.011375364084302841,0.02339019842824941,-0.012014834343946568,0.0009855165062035987
2010-04-01,1.0,1.0,0.004152839775189543,0.009105391098226168,-0.004952551323036625,0.0052887868753823675
2010-05-03,1.0,1.0,0.006346352218571605,0.00426470269160828,0.002081649526963325,0.0046803343242107776
2010-06-01,1.0,1.0,0.008411844070523422,-0.0055175842192261015,0.013929428289749524,0.016042039315166234
2010-08-02,1.0,1.0,-0.00010761662789582349,0.005455060130450828,-0.005562676758346652,0.004876050208453053
2010-09-01,1.0,1.0,0.01185665301950345,-0.00047401287479098553,0.012330665894294435,0.019160405950926718
2010-11-01,1.0,1.0,0.0017343612938975905,0.005464510207649154,-0.003730148913751563,-0.00011635842376844785
2010-12-01,1.0,1.0,0.01602323514006776,0.0021415488764080504,0.01388168626365971,0.0163463254864884
2011-01-03,1.0,1.0,0.009523974770770494,0.004847149161887554,0.00467682560888294,-0.0025679350977837467
2011-05-02,1.0,1.0,-0.00597222834207245,0.00211214821720751,-0.00808437655927996,0.008442507436625446
2011-06-01,1.0,1.0,-0.0015405580617366965,0.00013368265532287538,-0.001674240717059572,-0.023580609242308537
2011-07-01,1.0,1.0,-0.00849318830934287,0.002051906659939151,-0.01054509496928202,-0.0054418832395692895
2011-11-01,1.0,1.0,-0.022992554681490862,-0.01978007428606754,-0.0032124803954233228,-0.02860864572841293
2011-12-01,1.0,1.0,-0.002401677677173586,-0.003978563900459253,0.0015768862232856673,0.005632475964671313
2012-01-03,1.0,1.0,0.021264417390403745,0.018901471674804826,0.0023629457155989186,0.011171687651736928
2012-02-01,1.0,1.0,0.01333080953678567,0.009053081053547185,0.004277728483238485,0.013935929944342229
2012-04-02,1.0,1.0,-0.003795472640626074,-0.004541466184816878,0.0007459935441908039,0.009374967567320924
2012-05-01,1.0,1.0,-0.000670835232509992,3.3141478739118213e-07,-0.0006711666472973832,-0.004915476882238146
2012-06-01,1.0,1.0,0.00045092160246618107,-0.017185461716228367,0.01763638331869455,0.00875241070354682
2012-09-04,1.0,1.0,-0.0009789545429733648,0.00028445257074327657,-0.0012634071137166414,-0.006362011676349311
2012-11-01,1.0,1.0,0.0011388985153801823,-0.003892246086834139,0.005031144602214321,-0.01392119565200911
