trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
S8UN_001,2026-07-02,U1_incumbent__blend,daily_ledger_v1,dev_to_2017-12-31,0.920,12.31,-17.37,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_002,2026-07-02,U1_incumbent__blend,daily_ledger_v1,dev_to_2017-12-31,0.868,11.52,-18.00,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_003,2026-07-02,U1_incumbent__blend,daily_ledger_v1,full_2005_latest,0.868,13.09,-17.37,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_004,2026-07-02,U1_incumbent__blend,daily_ledger_v1,full_2005_latest,0.817,12.20,-18.00,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_005,2026-07-02,U1_incumbent__gate_baseline,daily_ledger_v1,dev_to_2017-12-31,0.915,10.83,-17.31,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_006,2026-07-02,U1_incumbent__gate_baseline,daily_ledger_v1,dev_to_2017-12-31,0.899,10.63,-17.31,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_007,2026-07-02,U1_incumbent__gate_baseline,daily_ledger_v1,full_2005_latest,0.754,9.02,-28.14,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_008,2026-07-02,U1_incumbent__gate_baseline,daily_ledger_v1,full_2005_latest,0.729,8.69,-29.00,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_009,2026-07-02,U2_sectors__blend,daily_ledger_v1,dev_to_2017-12-31,0.704,8.26,-17.94,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_010,2026-07-02,U2_sectors__blend,daily_ledger_v1,dev_to_2017-12-31,0.641,7.43,-19.10,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_011,2026-07-02,U2_sectors__blend,daily_ledger_v1,full_2005_latest,0.632,7.37,-23.20,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_012,2026-07-02,U2_sectors__blend,daily_ledger_v1,full_2005_latest,0.563,6.44,-24.66,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_013,2026-07-02,U2_sectors__gate_baseline,daily_ledger_v1,dev_to_2017-12-31,0.915,10.83,-17.31,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_014,2026-07-02,U2_sectors__gate_baseline,daily_ledger_v1,dev_to_2017-12-31,0.899,10.63,-17.31,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_015,2026-07-02,U2_sectors__gate_baseline,daily_ledger_v1,full_2005_latest,0.754,9.02,-28.14,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_016,2026-07-02,U2_sectors__gate_baseline,daily_ledger_v1,full_2005_latest,0.729,8.69,-29.00,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_017,2026-07-02,U3_cross_asset__blend,daily_ledger_v1,dev_to_2017-12-31,0.916,11.06,-14.97,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_018,2026-07-02,U3_cross_asset__blend,daily_ledger_v1,dev_to_2017-12-31,0.862,10.32,-16.38,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_019,2026-07-02,U3_cross_asset__blend,daily_ledger_v1,full_2005_latest,0.731,8.74,-25.00,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_020,2026-07-02,U3_cross_asset__blend,daily_ledger_v1,full_2005_latest,0.669,7.91,-25.64,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_021,2026-07-02,U3_cross_asset__gate_baseline,daily_ledger_v1,dev_to_2017-12-31,0.898,10.72,-17.31,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_022,2026-07-02,U3_cross_asset__gate_baseline,daily_ledger_v1,dev_to_2017-12-31,0.880,10.49,-17.31,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_023,2026-07-02,U3_cross_asset__gate_baseline,daily_ledger_v1,full_2005_latest,0.737,8.86,-28.14,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_024,2026-07-02,U3_cross_asset__gate_baseline,daily_ledger_v1,full_2005_latest,0.711,8.51,-29.00,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_025,2026-07-02,U4_no_semis__blend,daily_ledger_v1,dev_to_2017-12-31,1.021,13.32,-16.81,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_026,2026-07-02,U4_no_semis__blend,daily_ledger_v1,dev_to_2017-12-31,0.977,12.67,-17.85,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_027,2026-07-02,U4_no_semis__blend,daily_ledger_v1,full_2005_latest,0.893,12.78,-16.81,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_028,2026-07-02,U4_no_semis__blend,daily_ledger_v1,full_2005_latest,0.850,12.06,-17.85,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_029,2026-07-02,U4_no_semis__gate_baseline,daily_ledger_v1,dev_to_2017-12-31,0.915,10.83,-17.31,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_030,2026-07-02,U4_no_semis__gate_baseline,daily_ledger_v1,dev_to_2017-12-31,0.899,10.63,-17.31,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_031,2026-07-02,U4_no_semis__gate_baseline,daily_ledger_v1,full_2005_latest,0.754,9.02,-28.14,1,frozen_eval,cost=10bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_032,2026-07-02,U4_no_semis__gate_baseline,daily_ledger_v1,full_2005_latest,0.729,8.69,-29.00,1,frozen_eval,cost=20bps;frozen-rule-eval;owner-authorized-budget-expansion
S8UN_T01,2026-07-02,U1_incumbent__blend_s4tiebreak,daily_ledger_v1,dev_to_2017-12-31,1.005,13.81,-17.37,1,tiebreak_diag,cost=10bps;posthoc-diagnostic;owner-authorized-budget-expansion
S8UN_T02,2026-07-02,U1_incumbent__blend_s4tiebreak,daily_ledger_v1,full_2005_latest,0.914,14.06,-17.37,1,tiebreak_diag,cost=10bps;posthoc-diagnostic;owner-authorized-budget-expansion
S8UN_T03,2026-07-02,U2_sectors__blend_s4tiebreak,daily_ledger_v1,dev_to_2017-12-31,0.637,7.47,-17.00,1,tiebreak_diag,cost=10bps;posthoc-diagnostic;owner-authorized-budget-expansion
S8UN_T04,2026-07-02,U2_sectors__blend_s4tiebreak,daily_ledger_v1,full_2005_latest,0.625,7.39,-20.77,1,tiebreak_diag,cost=10bps;posthoc-diagnostic;owner-authorized-budget-expansion
S8UN_T05,2026-07-02,U3_cross_asset__blend_s4tiebreak,daily_ledger_v1,dev_to_2017-12-31,0.964,11.75,-14.67,1,tiebreak_diag,cost=10bps;posthoc-diagnostic;owner-authorized-budget-expansion
S8UN_T06,2026-07-02,U3_cross_asset__blend_s4tiebreak,daily_ledger_v1,full_2005_latest,0.733,8.85,-25.00,1,tiebreak_diag,cost=10bps;posthoc-diagnostic;owner-authorized-budget-expansion
S8UN_T07,2026-07-02,U4_no_semis__blend_s4tiebreak,daily_ledger_v1,dev_to_2017-12-31,1.021,13.32,-16.81,1,tiebreak_diag,cost=10bps;posthoc-diagnostic;owner-authorized-budget-expansion
S8UN_T08,2026-07-02,U4_no_semis__blend_s4tiebreak,daily_ledger_v1,full_2005_latest,0.893,12.78,-16.81,1,tiebreak_diag,cost=10bps;posthoc-diagnostic;owner-authorized-budget-expansion
