,SPY,EFA,EEM,TLT,GLD,DBC,BIL
2018-01-31,0.2175944189604209,0.2023377819778478,0.11483721239277646,0.15220313161329507,0.16730545759734433,0.1457219974583155,
2018-02-28,0.13395101275696578,0.14525488720633048,0.10089831561294887,0.20626892310930128,0.22131526306317395,0.19231159825127983,
2018-03-29,0.11684871193982439,0.13845262777595094,0.09417763993574615,0.23298080684475064,0.21298367388355055,0.20455653962017728,
2018-04-30,0.11184925989859534,0.14341353081510866,0.09629857500791841,0.23925276608555537,0.22014250355970905,0.18904336463311316,
2018-05-31,0.1565938675525195,0.22833005176810847,0.13408271721222664,,0.25910731562389017,0.2218860478432552,
2018-06-29,0.19061705389751576,0.2193289845490719,0.1380240290177381,,0.27849272652308704,0.17353720601258718,
2018-07-31,0.3324445523845694,0.28500292252022374,0.180282055054525,,,0.202270470040682,
2018-08-31,0.4539510503243514,0.31798237457706907,,,,0.22806657509857955,
2018-09-28,0.466733157838535,0.3026911765807157,,,,0.23057566558074935,
2018-10-31,0.4878567928489697,,,,,0.5121432071510302,
2018-11-30,1.0,,,,,,
2018-12-31,,,,,,,1.0
2019-01-31,,,,1.0,,,
2019-02-28,0.3028443350558621,,,0.6971556649441379,,,
2019-03-29,0.4054264272171796,,,0.5945735727828204,,,
2019-04-30,0.4959983928827424,,,0.5040016071172576,,,
2019-05-31,0.271184337343413,,,0.35959928584610723,0.36921637681047975,,
2019-06-28,0.1907791652284984,0.1960594540827039,0.14111987114216681,0.2460538061898562,0.22598770335677457,,
2019-07-31,0.3126466566984908,,,0.4037061866694632,0.28364715663204604,,
2019-08-30,0.3087066320494602,,,0.36938934025200293,0.3219040276985368,,
2019-09-30,0.343322485231266,,,0.33157069402263983,0.32510682074609404,,
2019-10-31,0.18332165787879942,0.22549925513998137,0.1853464394042161,0.1854131076143232,0.22041953996268002,,
2019-11-29,0.2021665763649354,0.20540346277000024,0.1665077617859128,0.13775330680335082,0.15973687812220058,0.1284320141536001,
2019-12-31,0.18953705120176856,0.18087658385294628,0.15148652810427637,0.1318442063375873,0.18566030312039308,0.1605953273830283,
2020-01-31,0.24330948218371506,0.2256609285239192,0.13472805335219648,0.16343433768775897,0.23286719825241028,,
2020-02-28,0.2849095257362218,,,0.3415929224437708,0.37349755182000743,,
2020-03-31,,,,0.402192904238806,0.5978070957611941,,
2020-04-30,0.20830962386353014,,,0.33173555234313307,0.4599548237933368,,
2020-05-29,0.20669562878820888,,,0.32423781906949783,0.4690665521422932,,
2020-06-30,0.20717008536911133,,,0.39851664568538536,0.39431326894550345,,
2020-07-31,0.19809696448922615,,0.17244893822777982,0.3070382808215388,0.32241581646145534,,
2020-08-31,0.19127909157074197,0.18076050907063385,0.1611002779775697,0.28336866936789923,0.1834914520131552,,
2020-09-30,0.18998874143809655,0.19591058513671888,0.16109000151919303,0.29253421342759794,0.1604764584783935,,
2020-10-30,0.20936849498686133,,0.23624313604943958,0.35227076260376883,0.20211760635993015,,
2020-11-30,0.15984583425134194,0.17797781658024123,0.18755250745432056,0.266183030101895,0.2084408116122013,,
2020-12-31,0.1922745407479653,0.18120626446877933,0.18973915932040739,0.2457404870818172,0.19103954838103074,,
2021-01-29,0.17790021423411267,0.15439141162318998,0.13454654609526512,0.20101759375265552,0.14360778973853378,0.18853644455624305,
2021-02-26,0.23512268823596735,0.21695194122552153,0.15212385605455947,,0.18213241209893588,0.21366910238501563,
2021-03-31,0.22425816606733323,0.25712641046438645,0.14679293887523298,,0.20868945252321128,0.16313303206983598,
2021-04-30,0.22811274150213073,0.25298642089575907,0.15097257960267357,,0.21537476279912665,0.15255349520031003,
2021-05-28,0.22877928469216852,0.2289808860312738,0.15440579093886284,,0.24592921159911224,0.1419048267385827,
2021-06-30,0.30086303279547244,0.2521236447453015,0.23190535291360595,,,0.2151079695456202,
2021-07-30,0.3214110662400589,0.27112806202421386,0.2141491763976154,,,0.19331169533811185,
2021-08-31,0.3469695466517559,0.28690787547990027,0.20420959081110146,,,0.16191298705724244,
2021-09-30,0.32579535987172603,0.29165368578026973,0.20639557119311583,,,0.1761553831548883,
2021-10-29,0.2980745450160092,0.30059012176277067,0.21639657845530536,,,0.1849387547659147,
2021-11-30,0.3806017156703325,0.38587513787584626,,,,0.23352314645382122,
2021-12-31,0.36010921643301413,0.40181211749351714,,,,0.23807866607346875,
2022-01-31,0.32780709819234966,0.4056145653768133,,,,0.2665783364308371,
2022-02-28,0.1538295941926416,0.189833080556761,,0.19279228444058966,0.2650347447223606,0.1985102960876472,
2022-03-31,0.3329068080997892,,,,0.4337486914064242,0.2333445004937866,
2022-04-29,,,,,0.6690292167889581,0.3309707832110419,
2022-05-31,,,,,,1.0,
2022-06-30,,,,,0.6444040796216863,0.3555959203783138,
2022-07-29,,,,,,1.0,
2022-08-31,,,,,,1.0,
2022-09-30,,,,,,1.0,
2022-10-31,,,,,,1.0,
2022-11-30,,,,,,1.0,
2022-12-30,,,,,,1.0,
2023-01-31,,,,,0.558952772147132,0.44104722785286804,
2023-02-28,,,,,,1.0,
2023-03-31,,,,,1.0,,
2023-04-28,,0.528444844356972,,,0.4715551556430281,,
2023-05-31,0.344259146225346,0.34501837307714706,,,0.3107224806975071,,
2023-06-30,0.26558283441263036,0.2589096179565791,0.22310887500444623,,0.25239867262634436,,
2023-07-31,0.2959798217357043,0.23984606653257373,0.1967431628963882,,0.2674309488353338,,
2023-08-31,0.2818554825508416,0.22377213331353388,0.18606558849584454,,0.30830679563978014,,
2023-09-29,0.20735367593775705,0.1770457959877903,0.1426630673824937,,0.25094969887439145,0.2219877618175674,
2023-10-31,0.2504751451139151,0.24843717624259232,0.23105350763440272,,0.27003417100908983,,
2023-11-30,0.2598447468177598,0.24864970995560656,0.22443600995726157,,0.26706953326937205,,
2023-12-29,0.24299750774503334,0.22077711257738036,0.19621786352146922,0.13425076368820793,0.20575675246790923,,
2024-01-31,0.36277906657157794,0.32245122833335466,,,0.31476970509506746,,
2024-02-29,0.2744784666357171,0.2669083357252446,0.20656615419088256,,0.2520470434481557,,
2024-03-28,0.2071685454508355,0.2152435813591514,0.1677491695228099,,0.21088662308398132,0.198952080583222,
2024-04-30,0.19452458026404706,0.22058931780040736,0.18355202394019626,,0.17246693940237706,0.2288671385929722,
2024-05-31,0.21949191209237431,0.21810548306399838,0.19289932863280732,,0.1559910166447395,0.2135122595660803,
2024-06-28,0.24183970494679713,0.21330313709036347,0.19423449982694055,,0.1431470747925911,0.20747558334330765,
2024-07-31,0.24614547154753358,0.21429923172004298,0.19662854135708055,0.18921918021865383,0.15370757515668915,,
2024-08-30,0.21365123197841557,0.2065788555141544,0.1965213165760139,0.19844362465331217,0.18480497127810405,,
2024-09-30,0.1982752961774523,0.1938208813498853,0.16159473120959703,0.23447769471667235,0.21183139654639305,,
2024-10-31,0.20051498587339614,0.19814221253621,0.14729651060727206,0.23851728345286602,0.2155290075302558,,
2024-11-29,0.24073357474119234,0.2163690122377317,0.15519234826887152,0.20431460475315105,0.18339045999905346,,
2024-12-31,0.2250586094437038,0.2409092576150461,0.18339428660236723,,0.17560547491338957,0.1750323714254935,
2025-01-31,0.2049657662430451,0.22753625179082002,0.18869224549700084,,0.17088987309727668,0.2079158633718574,
2025-02-28,0.16195385559918155,0.17900252255953333,0.15119153816467493,0.16712416803336988,0.16233422396160546,0.17839369168163483,
2025-03-31,0.141923889929032,0.16279442697335503,0.1402120154850314,0.18278215041618387,0.17783630998137856,0.19445120721501918,
2025-04-30,0.1380478088049988,0.1724410700595865,0.17271663623263236,0.2881159907066456,0.22867849419613664,,
2025-05-30,0.13807564783943072,0.1778487416158622,0.17855134343437362,0.31075530559676506,0.19476896151356823,,
2025-06-30,0.20705842004423136,0.2634296418907015,0.264592208565344,,0.2649197294997231,,
2025-07-31,0.24031198382963442,0.2272050675706603,0.21893079825212625,,0.14251519501573823,0.1710369553318407,
2025-08-29,0.260530523202214,0.20115617181888884,0.20443824797882137,,0.17493632915753393,0.15893872784254182,
2025-09-30,0.24846410833200325,0.18653916474311244,0.20693062723921324,,0.16477499532246043,0.1932911043632106,
2025-10-31,0.19432067810880427,0.19890369082409784,0.1370688940223193,0.21325331744018947,0.09138837339858452,0.16506504620600468,
2025-11-28,0.17700023913632382,0.1905158836602685,0.1413980418844699,0.2331387767187417,0.09262332307604144,0.1653237355241546,
2025-12-30,0.16783566387210216,0.18891893249318584,0.13604817110402742,0.25924555350019074,0.08506721670749565,0.16288446232299833,
