trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
study2_tl_018,2026-07-02,study2_rot63_offset8,daily_ledger_v1,2005-04-01..2026-07-01,0.62,0.0883,-0.2712,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+8td; 10bps shown; 20bps: sharpe=0.5543 cagr=0.0772; turn=10.20x; engineering measurement, offset NOT selectable"
study2_tl_019,2026-07-02,study2_rot63_offset10,daily_ledger_v1,2005-04-01..2026-07-01,0.7037,0.1058,-0.2779,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+10td; 10bps shown; 20bps: sharpe=0.6412 cagr=0.0947; turn=10.04x; engineering measurement, offset NOT selectable"
study2_tl_020,2026-07-02,study2_rot63_offset12,daily_ledger_v1,2005-04-01..2026-07-01,0.7363,0.1143,-0.3009,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+12td; 10bps shown; 20bps: sharpe=0.6748 cagr=0.1031; turn=10.07x; engineering measurement, offset NOT selectable"
study2_tl_021,2026-07-02,study2_rot63_offset14,daily_ledger_v1,2005-04-01..2026-07-01,0.7478,0.115,-0.298,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+14td; 10bps shown; 20bps: sharpe=0.6853 cagr=0.1037; turn=10.15x; engineering measurement, offset NOT selectable"
study2_tl_022,2026-07-02,study2_rot63_offset15,daily_ledger_v1,2005-04-01..2026-07-01,0.7986,0.1194,-0.2586,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+15td; 10bps shown; 20bps: sharpe=0.7345 cagr=0.1083; turn=9.94x; engineering measurement, offset NOT selectable"
study2_tl_023,2026-07-02,study2_rot63_offset16,daily_ledger_v1,2005-04-01..2026-07-01,0.8339,0.127,-0.242,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+16td; 10bps shown; 20bps: sharpe=0.7714 cagr=0.1159; turn=9.85x; engineering measurement, offset NOT selectable"
study2_tl_024,2026-07-02,study2_rot63_offset18,daily_ledger_v1,2005-04-01..2026-07-01,0.8069,0.1188,-0.2662,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+18td; 10bps shown; 20bps: sharpe=0.7407 cagr=0.1076; turn=10.06x; engineering measurement, offset NOT selectable"
study2_tl_025,2026-07-02,study2_gem_tranche2,daily_ledger_v1,2005-04-01..2026-07-01,0.6067,0.0866,-0.3372,1,study2_timing_luck,staggered tranches +0/+10; equal sub-accounts of per-offset ledger runs; 10bps shown; 20bps: sharpe=0.5831 cagr=0.0826; turn=3.68x trades/yr=7
study2_tl_026,2026-07-02,study2_gem_tranche4,daily_ledger_v1,2005-04-01..2026-07-01,0.5805,0.0816,-0.3372,1,study2_timing_luck,staggered tranches +0/+5/+10/+15; equal sub-accounts of per-offset ledger runs; 10bps shown; 20bps: sharpe=0.5569 cagr=0.0776; turn=3.69x trades/yr=15
study2_tl_027,2026-07-02,study2_rot63_tranche2,daily_ledger_v1,2005-04-01..2026-07-01,0.8626,0.1261,-0.1985,1,study2_timing_luck,staggered tranches +0/+10; equal sub-accounts of per-offset ledger runs; 10bps shown; 20bps: sharpe=0.7968 cagr=0.1149; turn=9.91x trades/yr=97
study2_tl_028,2026-07-02,study2_rot63_tranche4,daily_ledger_v1,2005-04-01..2026-07-01,0.8496,0.1236,-0.2299,1,study2_timing_luck,staggered tranches +0/+5/+10/+15; equal sub-accounts of per-offset ledger runs; 10bps shown; 20bps: sharpe=0.7838 cagr=0.1125; turn=9.86x trades/yr=194
study2_tl_029,2026-07-02,study2_gem_phase_2_12,daily_ledger_v1,2005-04-01..2026-07-01,0.5862,0.0837,-0.3372,1,study2_timing_luck,"phase-shifted 2tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.5617 cagr=0.0795"
study2_tl_030,2026-07-02,study2_gem_phase_4_14,daily_ledger_v1,2005-04-01..2026-07-01,0.5602,0.0785,-0.3372,1,study2_timing_luck,"phase-shifted 2tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.5360 cagr=0.0744"
study2_tl_031,2026-07-02,study2_gem_phase_6_16,daily_ledger_v1,2005-04-01..2026-07-01,0.543,0.0756,-0.3372,1,study2_timing_luck,"phase-shifted 2tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.5208 cagr=0.0719"
study2_tl_032,2026-07-02,study2_gem_phase_8_18,daily_ledger_v1,2005-04-01..2026-07-01,0.5773,0.0825,-0.3372,1,study2_timing_luck,"phase-shifted 2tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.5545 cagr=0.0786"
study2_tl_033,2026-07-02,study2_gem_phase_2_6_12_16,daily_ledger_v1,2005-04-01..2026-07-01,0.5675,0.0798,-0.3372,1,study2_timing_luck,"phase-shifted 4tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.5439 cagr=0.0758"
study2_tl_034,2026-07-02,study2_gem_phase_4_8_14_18,daily_ledger_v1,2005-04-01..2026-07-01,0.5706,0.0805,-0.3372,1,study2_timing_luck,"phase-shifted 4tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.5471 cagr=0.0765"
study2_tl_035,2026-07-02,study2_rot63_phase_2_12,daily_ledger_v1,2005-04-01..2026-07-01,0.7661,0.1147,-0.2718,1,study2_timing_luck,"phase-shifted 2tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.7005 cagr=0.1032"
study2_tl_036,2026-07-02,study2_rot63_phase_4_14,daily_ledger_v1,2005-04-01..2026-07-01,0.8399,0.1262,-0.2801,1,study2_timing_luck,"phase-shifted 2tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.7769 cagr=0.1152"
study2_tl_037,2026-07-02,study2_rot63_phase_6_16,daily_ledger_v1,2005-04-01..2026-07-01,0.7859,0.1156,-0.218,1,study2_timing_luck,"phase-shifted 2tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.7202 cagr=0.1043"
study2_tl_038,2026-07-02,study2_rot63_phase_8_18,daily_ledger_v1,2005-04-01..2026-07-01,0.745,0.1057,-0.2609,1,study2_timing_luck,"phase-shifted 2tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.6772 cagr=0.0945"
study2_tl_039,2026-07-02,study2_rot63_phase_2_6_12_16,daily_ledger_v1,2005-04-01..2026-07-01,0.7834,0.1151,-0.2452,1,study2_timing_luck,"phase-shifted 4tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.7170 cagr=0.1038"
study2_tl_040,2026-07-02,study2_rot63_phase_4_8_14_18,daily_ledger_v1,2005-04-01..2026-07-01,0.8076,0.1169,-0.2535,1,study2_timing_luck,"phase-shifted 4tr book (dispersion measurement, derived from offset runs); 10bps shown; 20bps: sharpe=0.7417 cagr=0.1058"
