rule,offset,cost_bps,cagr,sharpe,max_dd,ann_turnover,ann_cost_drag_bps,trades_per_year,n_rebalances,start,end,in_grid
gem,0,10.0,0.08980014699736683,0.619405617030141,-0.33717267690003416,4.047352145342095,40.473521453420986,4.047352145342095,246,2005-04-01,2026-07-01,True
gem,0,20.0,0.0853850360249584,0.5937186478866057,-0.33717267690003394,4.047352145342095,80.94704290684197,4.047352145342095,246,2005-04-01,2026-07-01,True
gem,2,10.0,0.08471724845949846,0.5850476010486066,-0.3371726769000344,4.047352145342095,40.473521453420986,4.047352145342095,246,2005-04-01,2026-07-01,True
gem,2,20.0,0.08032272985089906,0.5596146534457752,-0.3371726769000343,4.047352145342095,80.94704290684197,4.047352145342095,246,2005-04-01,2026-07-01,True
gem,4,10.0,0.08100562331554584,0.5665890262682804,-0.3371726769000343,4.141476613838423,41.41476613838426,4.141476613838423,246,2005-04-01,2026-07-01,True
gem,4,20.0,0.0765245046012133,0.5405487777511222,-0.3371726769000343,4.141476613838423,82.82953227676852,4.141476613838423,246,2005-04-01,2026-07-01,True
gem,5,10.0,0.07551958434995609,0.5380539667852964,-0.3371726769000347,3.764978739853112,37.649787398531146,3.764978739853112,246,2005-04-01,2026-07-01,False
gem,5,20.0,0.07146574922441662,0.5142320940296059,-0.33717267690003394,3.764978739853112,75.29957479706229,3.764978739853112,246,2005-04-01,2026-07-01,False
gem,6,10.0,0.07595483237004075,0.5333801440777624,-0.3371726769000346,3.3884808658678005,33.88480865867803,3.3884808658678005,246,2005-04-01,2026-07-01,True
gem,6,20.0,0.0723042154630138,0.5124571812871461,-0.3371726769000343,3.3884808658678005,67.76961731735607,3.3884808658678005,246,2005-04-01,2026-07-01,True
gem,8,10.0,0.07549538746216866,0.5355378950252785,-0.3371726769000345,3.670854271356784,36.708542713567866,3.670854271356784,246,2005-04-01,2026-07-01,True
gem,8,20.0,0.07154280068031271,0.512310399450871,-0.33717267690003405,3.670854271356784,73.41708542713573,3.670854271356784,246,2005-04-01,2026-07-01,True
gem,10,10.0,0.0831906753247571,0.5825327515980651,-0.33717267690003394,3.294356397371473,32.94356397371475,3.294356397371473,246,2005-04-01,2026-07-01,True
gem,10,20.0,0.07961742727276055,0.5617297679277178,-0.33717267690003405,3.294356397371473,65.8871279474295,3.294356397371473,246,2005-04-01,2026-07-01,True
gem,12,10.0,0.08259544129020702,0.5754171429860103,-0.3371726769000343,3.670854271356784,36.708542713567866,3.670854271356784,246,2005-04-01,2026-07-01,True
gem,12,20.0,0.07861676087816138,0.5522683001430532,-0.3371726769000346,3.670854271356784,73.41708542713573,3.670854271356784,246,2005-04-01,2026-07-01,True
gem,14,10.0,0.07589188073638775,0.5414019273017088,-0.3371726769000344,3.3884808658678005,33.88480865867803,3.3884808658678005,246,2005-04-01,2026-07-01,True
gem,14,20.0,0.07224147741852938,0.5198781462484178,-0.3371726769000345,3.3884808658678005,67.76961731735607,3.3884808658678005,246,2005-04-01,2026-07-01,True
gem,15,10.0,0.07679450311505542,0.5462816770319574,-0.3373349005127474,3.576729802860456,35.76729802860459,3.576729802860456,246,2005-04-01,2026-07-01,False
gem,15,20.0,0.07293843080569284,0.523466539108779,-0.34263089875075925,3.576729802860456,71.53459605720919,3.576729802860456,246,2005-04-01,2026-07-01,False
gem,16,10.0,0.07530965727218497,0.5415723829716613,-0.3371726769000347,3.576729802860456,35.76729802860459,3.576729802860456,246,2005-04-01,2026-07-01,True
gem,16,20.0,0.07145890229395802,0.518483213657204,-0.3371726769000343,3.576729802860456,71.53459605720919,3.576729802860456,246,2005-04-01,2026-07-01,True
gem,18,10.0,0.08866228441099167,0.6062546409166182,-0.3371726769000344,3.576729802860456,35.76729802860459,3.576729802860456,246,2005-04-01,2026-07-01,True
gem,18,20.0,0.08476371279215389,0.5840091114979052,-0.3371726769000344,3.576729802860456,71.53459605720919,3.576729802860456,246,2005-04-01,2026-07-01,True
rot63,0,10.0,0.14089471285027177,0.9352418468043597,-0.2037528421129703,9.852537280924555,98.52537280924555,48.52116350985698,255,2005-04-01,2026-07-01,True
rot63,0,20.0,0.12968674890265852,0.8707990102105845,-0.20736470458159317,9.852537280924553,197.0507456184911,48.52116350985698,255,2005-04-01,2026-07-01,True
rot63,2,10.0,0.11500035800002006,0.7603718809902937,-0.24455776795145068,10.483487975040088,104.83487975040084,48.42703904136065,254,2005-04-01,2026-07-01,True
