trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
S4BM_001,2026-07-02,a_pin_63,daily_ledger_v1,2006-2017_dev,0.931,11.28,-16.20,1,dev,cost=10bps
S4BM_002,2026-07-02,a_pin_63,daily_ledger_v1,2006-2017_dev,0.855,10.25,-16.76,1,dev,cost=20bps
S4BM_003,2026-07-02,b_pin_252_21,daily_ledger_v1,2006-2017_dev,0.941,12.27,-17.37,1,dev,cost=10bps
S4BM_004,2026-07-02,b_pin_252_21,daily_ledger_v1,2006-2017_dev,0.893,11.58,-17.37,1,dev,cost=20bps
S4BM_005,2026-07-02,c_blend_63_126_252,daily_ledger_v1,2006-2017_dev,0.934,12.49,-18.99,1,dev,cost=10bps
S4BM_006,2026-07-02,c_blend_63_126_252,daily_ledger_v1,2006-2017_dev,0.876,11.62,-19.95,1,dev,cost=20bps
S4BM_007,2026-07-02,d_blend_21_63_126_252,daily_ledger_v1,2006-2017_dev,0.888,11.67,-23.80,1,dev,cost=10bps
S4BM_008,2026-07-02,d_blend_21_63_126_252,daily_ledger_v1,2006-2017_dev,0.818,10.63,-25.08,1,dev,cost=20bps
S4BM_009,2026-07-02,e_voladj_63,daily_ledger_v1,2006-2017_dev,0.788,7.90,-21.82,1,dev,cost=10bps
S4BM_010,2026-07-02,e_voladj_63,daily_ledger_v1,2006-2017_dev,0.704,6.97,-22.46,1,dev,cost=20bps
S4BM_011,2026-07-02,f_voladj_blend_63_126_252,daily_ledger_v1,2006-2017_dev,0.557,5.49,-20.00,1,dev,cost=10bps
S4BM_012,2026-07-02,f_voladj_blend_63_126_252,daily_ledger_v1,2006-2017_dev,0.484,4.68,-23.32,1,dev,cost=20bps
S4BM_013,2026-07-02,g_blend_skip252,daily_ledger_v1,2006-2017_dev,0.983,13.17,-14.29,1,dev,cost=10bps
S4BM_014,2026-07-02,g_blend_skip252,daily_ledger_v1,2006-2017_dev,0.929,12.35,-14.75,1,dev,cost=20bps
S4BM_015,2026-07-02,h_voladj_blend_skip252,daily_ledger_v1,2006-2017_dev,0.581,5.68,-20.31,1,dev,cost=10bps
S4BM_016,2026-07-02,h_voladj_blend_skip252,daily_ledger_v1,2006-2017_dev,0.512,4.92,-21.97,1,dev,cost=20bps
S4BM_017,2026-07-02,i_blend_126_252,daily_ledger_v1,2006-2017_dev,1.005,13.81,-17.37,1,dev,cost=10bps
S4BM_018,2026-07-02,i_blend_126_252,daily_ledger_v1,2006-2017_dev,0.958,13.09,-18.20,1,dev,cost=20bps
S4BM_C00,2026-07-02,i_blend_126_252__base,daily_ledger_v1,2006-2017_dev,1.005,13.81,-17.37,1,cliff_test,cost=10bps;robustness-not-candidate
S4BM_C01,2026-07-02,i_blend_126_252__leg0_126to101,daily_ledger_v1,2006-2017_dev,0.949,12.85,-17.37,1,cliff_test,cost=10bps;robustness-not-candidate
S4BM_C02,2026-07-02,i_blend_126_252__leg0_126to151,daily_ledger_v1,2006-2017_dev,0.915,12.37,-17.30,1,cliff_test,cost=10bps;robustness-not-candidate
S4BM_C03,2026-07-02,i_blend_126_252__leg1_252to202,daily_ledger_v1,2006-2017_dev,0.937,12.56,-17.37,1,cliff_test,cost=10bps;robustness-not-candidate
S4BM_C04,2026-07-02,i_blend_126_252__leg1_252to302,daily_ledger_v1,2006-2017_dev,0.975,13.32,-17.37,1,cliff_test,cost=10bps;robustness-not-candidate
S4BM_C05,2026-07-02,i_blend_126_252__incumbent_base,daily_ledger_v1,2006-2017_dev,0.931,11.28,-16.20,1,cliff_test,cost=10bps;robustness-not-candidate
S4BM_C06,2026-07-02,i_blend_126_252__incumbent_63to50,daily_ledger_v1,2006-2017_dev,0.823,9.57,-15.67,1,cliff_test,cost=10bps;robustness-not-candidate
S4BM_C07,2026-07-02,i_blend_126_252__incumbent_63to76,daily_ledger_v1,2006-2017_dev,0.855,10.54,-20.47,1,cliff_test,cost=10bps;robustness-not-candidate
S4BM_V00,2026-07-02,i_blend_126_252,daily_ledger_v1,2018-latest_validation,0.822,14.16,-17.04,1,validation,cost=10bps;THE-one-look
S4BM_V01,2026-07-02,i_blend_126_252,daily_ledger_v1,2018-latest_validation,0.771,13.10,-18.03,1,validation,cost=20bps;THE-one-look
